ZIP_CODE,COUNTY,DOMAIN_NAME,ZIP_CODE,STREET_NAME,LATITUDE,STREET_ADDRESS,STATE
10108-9702,Borders,rosalyn.com,14649-0404,Riley Cliff,-21.2197,20530 Adaline Spurs,Georgia
44432-2684,Berkshire,devin.info,13405,Johan Village,53.0743,9482 Sporer Keys,Maryland
61808-2074,Bedfordshire,garret.name,56865-6328,Alanis Inlet,-28.6071,95859 Langosh Cliffs,Massachusetts
17550-8516,Bedfordshire,laverne.biz,52518-3593,Waylon Orchard,-21.0279,52675 Damon Heights,Rhode Island
38743,Buckinghamshire,karolann.org,41460,Wunsch Divide,-56.7542,06510 Jerde Village,Maine
82714,Buckinghamshire,garland.name,42180-4334,Ellie Port,37.1570,0617 Witting Trail,Nebraska
83965,Avon,isom.com,26248-9626,Mauricio Knolls,-77.8493,31471 Dortha Manor,Maryland
68947,Cambridgeshire,madge.biz,74681,Fahey Springs,64.4014,67707 Uriah Bypass,Delaware
86164-5721,Cambridgeshire,dorian.org,85628-0372,Manley Fall,-77.0278,0288 Daugherty Ports,Arkansas
52055-5653,Berkshire,malika.com,60830,Jerry Wall,77.5938,39286 Casimir Tunnel,Colorado
59525,Bedfordshire,jaquelin.net,99789-0513,O'Keefe Flats,-30.5071,244 Smitham Parkway,New Hampshire
77196-1940,Berkshire,krystina.org,21122,Keebler Glens,-35.2442,79870 Bins Canyon,Vermont
54867-2265,Bedfordshire,gaetano.net,58374,Zieme Viaduct,86.0457,1204 Sipes Lodge,Alabama
08846-6660,Bedfordshire,mauricio.name,61990,Johanna Lakes,68.7770,816 Marks Plain,Louisiana
23600,Buckinghamshire,caterina.name,06698,Kirlin Loaf,59.7952,32972 Emile Passage,Wyoming
23673-5623,Berkshire,pietro.name,81443,Zieme Hollow,35.1481,8652 Adams Ranch,Missouri
81063-7893,Borders,herman.net,24073-0979,VonRueden Walks,49.2329,941 Flo Crescent,Hawaii
48618-3015,Cambridgeshire,ken.org,93143,Green Brooks,68.7527,2708 Bechtelar Flat,Idaho
26662,Bedfordshire,natalia.org,77045-7723,Tillman Wells,-6.2463,37835 Mohr Oval,Montana
85377-3373,Buckinghamshire,deangelo.name,66914-1685,Lisandro Extension,-59.1553,2718 Lourdes Drives,Nevada
98724-3129,Avon,marion.net,74730-6395,Daren Locks,75.3911,1059 Jacobs Terrace,Louisiana
37502,Cambridgeshire,wilmer.biz,06726,Lueilwitz Estates,43.0426,071 Alfonzo Stravenue,Louisiana
09477,Cambridgeshire,halle.net,64374,Kihn Parkways,78.1430,880 Naomi Parkway,Tennessee
02298-6654,Bedfordshire,elisabeth.biz,75853-1764,Luz Spur,-4.0715,4875 Goldner Harbors,California
36181-5803,Cambridgeshire,buck.net,46085-4670,Homenick Point,11.5342,98270 Hirthe Roads,Oregon
30112,Avon,dominic.org,54335,Litzy Field,-2.4867,6239 Monserrat Forge,Michigan
58302,Borders,liliane.com,40813,Ritchie Trafficway,-33.6486,869 Kerluke Shoal,Oklahoma
22789-5373,Berkshire,sadye.biz,16198,Jazmin Mount,41.7703,834 Gulgowski Key,New Mexico
08409-3966,Cambridgeshire,jerry.biz,40315,Hand Mission,75.0371,00582 Friesen Overpass,Indiana
84656,Buckinghamshire,ryann.net,47706-1486,Mac Village,-2.6490,154 Effertz Square,North Carolina
39730-6980,Bedfordshire,hilbert.net,17123-3891,Deckow Heights,23.2985,072 Lesch Burgs,Ohio
34760,Bedfordshire,willis.org,60370,Jennings Village,42.0846,595 Michaela Hills,Georgia
99663,Buckinghamshire,wava.name,38503-1571,Smith Mount,43.4079,023 Shyanne Junction,West Virginia
32296-4093,Bedfordshire,sonya.com,52390,Jones Cliff,61.4059,6142 Roob Camp,Kentucky
51797-1509,Berkshire,elliot.com,65265-3214,Mireya Prairie,-12.5922,8636 Hartmann Street,Nevada
19974,Cambridgeshire,alex.name,66895,Evie Overpass,-44.0688,037 Gaylord Crossroad,Tennessee
48134,Buckinghamshire,emil.biz,81218,Wolff Causeway,-86.9503,27720 Trace Summit,New Mexico
20584-6817,Borders,uriah.net,35315,Smitham Street,-15.9559,2148 Toy Trail,Idaho
80746,Berkshire,haskell.org,69315-6794,Lucius Port,26.5252,5081 Agustina Alley,Colorado
45128-9219,Borders,hilma.info,87076-3113,Cayla Corners,-86.6240,27463 Roma Mountains,Louisiana
29814-3583,Cambridgeshire,princess.info,94359-5892,Anabel Estates,70.7209,339 America Plaza,Nevada
52517,Borders,lorenza.org,73461,Otha Curve,73.4223,5455 Viola Field,Connecticut
23500,Berkshire,kassandra.name,55618-6115,Marco Gateway,-43.3433,947 Klocko Junctions,Arizona
49960,Borders,anna.info,53353,Itzel Valleys,-73.4136,4924 Mohr Park,Ohio
90441,Buckinghamshire,daniella.net,30748-1990,Favian Center,11.0522,32031 Madilyn Fort,New York
80383-8896,Cambridgeshire,kim.net,94292,Lakin Mountains,25.7789,714 Considine Plaza,California
40646-0450,Bedfordshire,elnora.info,70081-2918,Balistreri Row,82.3205,031 Predovic Roads,Rhode Island
50302,Buckinghamshire,jadon.net,77052-1094,Alice Crossing,84.2058,678 Reinger Burg,Indiana
77553-3382,Berkshire,paige.biz,25943,Gay Trail,42.8417,918 Kenyatta Land,Maine
94838-5222,Buckinghamshire,lindsey.biz,08154,Monroe Pine,-38.9962,797 Casper Common,Mississippi
82419,Cambridgeshire,sofia.org,17372-3535,Bauch Highway,76.3430,4318 Oberbrunner Avenue,Vermont
01531-1226,Buckinghamshire,merritt.name,78929,Shyann Common,-51.5758,30885 Walsh Circle,Michigan
10330-9079,Buckinghamshire,lexie.com,02566,Schmidt Summit,-4.4264,860 Foster Creek,North Dakota
03154,Bedfordshire,abigale.org,57683,Abbott Keys,-59.8408,68105 Turner Knolls,Hawaii
75304,Bedfordshire,ryder.name,49841-0944,Nicolas Court,33.0017,7453 Krajcik Junctions,Texas
46042-8348,Cambridgeshire,antonio.net,96889-5843,Brisa Centers,2.6815,978 Krajcik Inlet,North Carolina
81609-6895,Bedfordshire,marilyne.info,61566,Taylor Cove,-38.6122,704 Nitzsche Point,Montana
11025,Cambridgeshire,lionel.org,22500,Bogan Wells,24.3034,0036 Jed Mill,Hawaii
56015,Berkshire,amira.biz,21244-4352,Nathan Mountain,-8.1413,757 Jessyca Square,Nevada
67274-7426,Berkshire,margarita.com,34020,Torp Coves,-3.1624,281 Morissette Mission,Nevada
02510,Buckinghamshire,astrid.name,90456,Delfina Road,22.0711,3569 Edgardo Forges,Massachusetts
46486-7935,Berkshire,tod.com,78104-1152,Stone Springs,-45.5428,56548 Spinka Plains,Illinois
58749-1938,Avon,loraine.net,23140,Abbigail Track,-80.0923,6176 Elmo Springs,Montana
98286,Berkshire,meda.info,12002-1510,Beer Manors,30.8400,80802 Brown Mountain,Washington
96587-8274,Bedfordshire,adrienne.name,17432-0319,Walton Radial,49.9299,8266 Lakin Roads,Arkansas
60755,Avon,doris.org,98236-2207,Ward Curve,68.5187,7356 Trudie Rapids,California
36543,Berkshire,abdiel.com,62218,Jaskolski Summit,-71.0323,914 Kirlin Square,Nebraska
57144-8121,Bedfordshire,linwood.biz,33209-4891,Lehner River,-58.1742,34209 Pacocha Overpass,West Virginia
16377,Borders,luis.name,82643-8690,Jenkins Circle,72.8565,973 Welch Ferry,Louisiana
50884-4729,Berkshire,bernadette.com,16670-5691,Alysha Pine,70.7946,956 Ferry Plaza,California
38194,Berkshire,lina.org,28703,O'Kon Mountain,2.3131,762 Milo Ranch,New York
42625,Buckinghamshire,genevieve.info,04626-1868,Percival Trafficway,24.6837,38781 Quigley Junctions,Montana
38876,Berkshire,kevon.info,93710,Laura Streets,37.8214,5465 Hessel Trafficway,Ohio
52429-3141,Buckinghamshire,afton.biz,51163,Pfeffer Overpass,-57.8570,38214 Russell Green,California
95905,Avon,precious.com,62752,Michale Extension,64.8255,553 Frances Dam,Maine
38247,Cambridgeshire,florida.name,04321,Dietrich Stream,65.2848,1158 Moen Rest,Missouri
96261-6554,Borders,torey.biz,67739,Jaskolski Row,-47.7108,7538 Sanford Gateway,Missouri
12370,Avon,cydney.name,35829-5741,Toy Trace,-28.6132,2449 Yundt Lodge,South Carolina
73569-8824,Berkshire,german.name,73402-5371,Astrid Street,-85.9853,8815 Tremblay Mountains,New Hampshire
06366-6798,Borders,shirley.org,66257-1025,Chauncey Vista,-82.2009,4235 Liam Spurs,Vermont
12914-7100,Bedfordshire,rebeca.biz,54767-7065,Adrienne Cliff,-11.7139,3049 Leannon Stravenue,Virginia
51356,Avon,kavon.com,32708,Mose Lodge,80.2147,5281 Jaskolski Vista,California
64550-1921,Avon,jayde.org,36098,Kathlyn Points,89.9378,3199 Hackett Glens,Rhode Island
60935,Avon,laverne.info,51473-2365,Gusikowski Track,-58.7436,973 Maiya Locks,Nevada
75021-8600,Borders,nicole.org,18318-0917,Chloe Spur,-50.5098,72482 Gerlach Greens,Washington
86074,Cambridgeshire,theresia.org,95508-7793,Kunze Plains,-50.7293,8096 Mike Summit,North Carolina
53813-1767,Bedfordshire,jensen.org,46606,Prosacco Fort,-57.0610,46619 Orn Roads,Alabama
64356,Cambridgeshire,althea.com,99461,Lindsay Underpass,27.1614,311 Doyle Ville,Utah
42452,Bedfordshire,frank.info,05390-2910,Hansen Key,-19.9652,867 Welch Trace,Arizona
22831,Berkshire,webster.biz,39421-9045,Parisian Garden,-43.7396,7246 Katarina Glen,New York
08802,Bedfordshire,denis.org,21890-0788,Wyman Square,-68.0995,352 Bettie Trafficway,Vermont
95183-2642,Bedfordshire,margarete.info,34103-7299,Keon Groves,27.8828,66001 Lang Hollow,Connecticut
