,ZIP_CODE,COUNTY,DOMAIN_NAME,ZIP_CODE.1,STREET_NAME,LATITUDE,STREET_ADDRESS,STATE,FULL_ADDRESS
0,10108-9702,Borders,rosalyn.com,14649-0404,Riley Cliff,-21.2197,20530 Adaline Spurs,Georgia,"Riley Cliff, Georgia"
1,44432-2684,Berkshire,devin.info,13405,Johan Village,53.0743,9482 Sporer Keys,Maryland,"Johan Village, Maryland"
2,61808-2074,Bedfordshire,garret.name,56865-6328,Alanis Inlet,-28.6071,95859 Langosh Cliffs,Massachusetts,"Alanis Inlet, Massachusetts"
3,17550-8516,Bedfordshire,laverne.biz,52518-3593,Waylon Orchard,-21.0279,52675 Damon Heights,Rhode Island,"Waylon Orchard, Rhode Island"
4,38743,Buckinghamshire,karolann.org,41460,Wunsch Divide,-56.7542,06510 Jerde Village,Maine,"Wunsch Divide, Maine"
5,82714,Buckinghamshire,garland.name,42180-4334,Ellie Port,37.157,0617 Witting Trail,Nebraska,"Ellie Port, Nebraska"
6,83965,Avon,isom.com,26248-9626,Mauricio Knolls,-77.8493,31471 Dortha Manor,Maryland,"Mauricio Knolls, Maryland"
7,68947,Cambridgeshire,madge.biz,74681,Fahey Springs,64.4014,67707 Uriah Bypass,Delaware,"Fahey Springs, Delaware"
8,86164-5721,Cambridgeshire,dorian.org,85628-0372,Manley Fall,-77.0278,0288 Daugherty Ports,Arkansas,"Manley Fall, Arkansas"
9,52055-5653,Berkshire,malika.com,60830,Jerry Wall,77.5938,39286 Casimir Tunnel,Colorado,"Jerry Wall, Colorado"
10,59525,Bedfordshire,jaquelin.net,99789-0513,O'Keefe Flats,-30.5071,244 Smitham Parkway,New Hampshire,"O'Keefe Flats, New Hampshire"
11,77196-1940,Berkshire,krystina.org,21122,Keebler Glens,-35.2442,79870 Bins Canyon,Vermont,"Keebler Glens, Vermont"
12,54867-2265,Bedfordshire,gaetano.net,58374,Zieme Viaduct,86.0457,1204 Sipes Lodge,Alabama,"Zieme Viaduct, Alabama"
13,08846-6660,Bedfordshire,mauricio.name,61990,Johanna Lakes,68.777,816 Marks Plain,Louisiana,"Johanna Lakes, Louisiana"
14,23600,Buckinghamshire,caterina.name,06698,Kirlin Loaf,59.7952,32972 Emile Passage,Wyoming,"Kirlin Loaf, Wyoming"
15,23673-5623,Berkshire,pietro.name,81443,Zieme Hollow,35.1481,8652 Adams Ranch,Missouri,"Zieme Hollow, Missouri"
16,81063-7893,Borders,herman.net,24073-0979,VonRueden Walks,49.2329,941 Flo Crescent,Hawaii,"VonRueden Walks, Hawaii"
17,48618-3015,Cambridgeshire,ken.org,93143,Green Brooks,68.7527,2708 Bechtelar Flat,Idaho,"Green Brooks, Idaho"
18,26662,Bedfordshire,natalia.org,77045-7723,Tillman Wells,-6.2463,37835 Mohr Oval,Montana,"Tillman Wells, Montana"
19,85377-3373,Buckinghamshire,deangelo.name,66914-1685,Lisandro Extension,-59.1553,2718 Lourdes Drives,Nevada,"Lisandro Extension, Nevada"
20,98724-3129,Avon,marion.net,74730-6395,Daren Locks,75.3911,1059 Jacobs Terrace,Louisiana,"Daren Locks, Louisiana"
21,37502,Cambridgeshire,wilmer.biz,06726,Lueilwitz Estates,43.0426,071 Alfonzo Stravenue,Louisiana,"Lueilwitz Estates, Louisiana"
22,09477,Cambridgeshire,halle.net,64374,Kihn Parkways,78.143,880 Naomi Parkway,Tennessee,"Kihn Parkways, Tennessee"
